trial_id,seed,tool_kind,policy,failure_phase,failure_injected,initial_state,expected_final_state,final_state,side_effect_count,duplicate_side_effects,exact_final_state_correct,successful_completion,retries,status_reads,calls,cost
78,2145917995920697483,idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
79,2145917995920697483,idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
80,2145917995920697483,non_idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
81,2145917995920697483,non_idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
82,2145917995920697483,non_idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
83,2145917995920697483,non_idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
84,5176572018665656243,read_only,no_retry,after_commit,True,0,0,0,0,0,True,False,0,0,1,1
85,5176572018665656243,read_only,blind_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
86,5176572018665656243,read_only,status_before_retry,after_commit,True,0,0,0,0,0,True,True,0,1,2,3
87,5176572018665656243,read_only,idempotency_key_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
88,5176572018665656243,idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
89,5176572018665656243,idempotent_mutation,blind_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
90,5176572018665656243,idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
91,5176572018665656243,idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
92,5176572018665656243,non_idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
93,5176572018665656243,non_idempotent_mutation,blind_retry,after_commit,True,0,1,2,2,1,False,True,1,0,2,2
94,5176572018665656243,non_idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
95,5176572018665656243,non_idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
96,6468581141273039753,read_only,no_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
97,6468581141273039753,read_only,blind_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
98,6468581141273039753,read_only,status_before_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
99,6468581141273039753,read_only,idempotency_key_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
100,6468581141273039753,idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
101,6468581141273039753,idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
102,6468581141273039753,idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
103,6468581141273039753,idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
104,6468581141273039753,non_idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
105,6468581141273039753,non_idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
106,6468581141273039753,non_idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
107,6468581141273039753,non_idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
108,3869387381345962230,read_only,no_retry,before_commit,True,0,0,0,0,0,True,False,0,0,1,1
109,3869387381345962230,read_only,blind_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
110,3869387381345962230,read_only,status_before_retry,before_commit,True,0,0,0,0,0,True,True,0,1,2,3
111,3869387381345962230,read_only,idempotency_key_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
112,3869387381345962230,idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
113,3869387381345962230,idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
114,3869387381345962230,idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
115,3869387381345962230,idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
116,3869387381345962230,non_idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
117,3869387381345962230,non_idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
118,3869387381345962230,non_idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
119,3869387381345962230,non_idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
120,2565856380474498476,read_only,no_retry,after_commit,True,0,0,0,0,0,True,False,0,0,1,1
121,2565856380474498476,read_only,blind_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
122,2565856380474498476,read_only,status_before_retry,after_commit,True,0,0,0,0,0,True,True,0,1,2,3
123,2565856380474498476,read_only,idempotency_key_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
124,2565856380474498476,idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
125,2565856380474498476,idempotent_mutation,blind_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
126,2565856380474498476,idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
127,2565856380474498476,idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
128,2565856380474498476,non_idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
129,2565856380474498476,non_idempotent_mutation,blind_retry,after_commit,True,0,1,2,2,1,False,True,1,0,2,2
130,2565856380474498476,non_idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
131,2565856380474498476,non_idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
132,6998762617471362847,read_only,no_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
133,6998762617471362847,read_only,blind_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
134,6998762617471362847,read_only,status_before_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
135,6998762617471362847,read_only,idempotency_key_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
136,6998762617471362847,idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
137,6998762617471362847,idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
138,6998762617471362847,idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
139,6998762617471362847,idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
140,6998762617471362847,non_idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
141,6998762617471362847,non_idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
142,6998762617471362847,non_idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
143,6998762617471362847,non_idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
144,1472597238169086909,read_only,no_retry,before_commit,True,0,0,0,0,0,True,False,0,0,1,1
145,1472597238169086909,read_only,blind_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
146,1472597238169086909,read_only,status_before_retry,before_commit,True,0,0,0,0,0,True,True,0,1,2,3
147,1472597238169086909,read_only,idempotency_key_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
148,1472597238169086909,idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
149,1472597238169086909,idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
150,1472597238169086909,idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
151,1472597238169086909,idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
152,1472597238169086909,non_idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
153,1472597238169086909,non_idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
154,1472597238169086909,non_idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
155,1472597238169086909,non_idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
156,2562910770574305398,read_only,no_retry,after_commit,True,0,0,0,0,0,True,False,0,0,1,1
157,2562910770574305398,read_only,blind_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
158,2562910770574305398,read_only,status_before_retry,after_commit,True,0,0,0,0,0,True,True,0,1,2,3
159,2562910770574305398,read_only,idempotency_key_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
160,2562910770574305398,idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
161,2562910770574305398,idempotent_mutation,blind_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
162,2562910770574305398,idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
163,2562910770574305398,idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
164,2562910770574305398,non_idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
165,2562910770574305398,non_idempotent_mutation,blind_retry,after_commit,True,0,1,2,2,1,False,True,1,0,2,2
166,2562910770574305398,non_idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
167,2562910770574305398,non_idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
168,7041990410826934883,read_only,no_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
169,7041990410826934883,read_only,blind_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
170,7041990410826934883,read_only,status_before_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
171,7041990410826934883,read_only,idempotency_key_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
172,7041990410826934883,idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
173,7041990410826934883,idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
174,7041990410826934883,idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
175,7041990410826934883,idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
176,7041990410826934883,non_idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
177,7041990410826934883,non_idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
178,7041990410826934883,non_idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
179,7041990410826934883,non_idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
180,942723427174387577,read_only,no_retry,before_commit,True,0,0,0,0,0,True,False,0,0,1,1
181,942723427174387577,read_only,blind_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
182,942723427174387577,read_only,status_before_retry,before_commit,True,0,0,0,0,0,True,True,0,1,2,3
183,942723427174387577,read_only,idempotency_key_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
184,942723427174387577,idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
185,942723427174387577,idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
186,942723427174387577,idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
187,942723427174387577,idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
188,942723427174387577,non_idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
189,942723427174387577,non_idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
190,942723427174387577,non_idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
191,942723427174387577,non_idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
192,3311000352010168215,read_only,no_retry,after_commit,True,0,0,0,0,0,True,False,0,0,1,1
193,3311000352010168215,read_only,blind_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
194,3311000352010168215,read_only,status_before_retry,after_commit,True,0,0,0,0,0,True,True,0,1,2,3
195,3311000352010168215,read_only,idempotency_key_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
196,3311000352010168215,idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
197,3311000352010168215,idempotent_mutation,blind_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
198,3311000352010168215,idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
199,3311000352010168215,idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
200,3311000352010168215,non_idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
201,3311000352010168215,non_idempotent_mutation,blind_retry,after_commit,True,0,1,2,2,1,False,True,1,0,2,2
202,3311000352010168215,non_idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
203,3311000352010168215,non_idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
204,2439774329912543747,read_only,no_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
205,2439774329912543747,read_only,blind_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
206,2439774329912543747,read_only,status_before_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
207,2439774329912543747,read_only,idempotency_key_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
208,2439774329912543747,idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
209,2439774329912543747,idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
210,2439774329912543747,idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
211,2439774329912543747,idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
212,2439774329912543747,non_idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
213,2439774329912543747,non_idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
214,2439774329912543747,non_idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
215,2439774329912543747,non_idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
216,400759557860619647,read_only,no_retry,before_commit,True,0,0,0,0,0,True,False,0,0,1,1
217,400759557860619647,read_only,blind_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
218,400759557860619647,read_only,status_before_retry,before_commit,True,0,0,0,0,0,True,True,0,1,2,3
219,400759557860619647,read_only,idempotency_key_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
220,400759557860619647,idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
221,400759557860619647,idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
222,400759557860619647,idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
223,400759557860619647,idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
224,400759557860619647,non_idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
225,400759557860619647,non_idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
226,400759557860619647,non_idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
227,400759557860619647,non_idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
228,1151318126898855557,read_only,no_retry,after_commit,True,0,0,0,0,0,True,False,0,0,1,1
229,1151318126898855557,read_only,blind_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
230,1151318126898855557,read_only,status_before_retry,after_commit,True,0,0,0,0,0,True,True,0,1,2,3
231,1151318126898855557,read_only,idempotency_key_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
232,1151318126898855557,idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
233,1151318126898855557,idempotent_mutation,blind_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
234,1151318126898855557,idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
235,1151318126898855557,idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
236,1151318126898855557,non_idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
237,1151318126898855557,non_idempotent_mutation,blind_retry,after_commit,True,0,1,2,2,1,False,True,1,0,2,2
238,1151318126898855557,non_idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
239,1151318126898855557,non_idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
240,726803524325187859,read_only,no_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
241,726803524325187859,read_only,blind_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
242,726803524325187859,read_only,status_before_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
243,726803524325187859,read_only,idempotency_key_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
244,726803524325187859,idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
245,726803524325187859,idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
246,726803524325187859,idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
247,726803524325187859,idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
248,726803524325187859,non_idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
249,726803524325187859,non_idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
250,726803524325187859,non_idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
251,726803524325187859,non_idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
252,2704092307918063857,read_only,no_retry,before_commit,True,0,0,0,0,0,True,False,0,0,1,1
253,2704092307918063857,read_only,blind_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
254,2704092307918063857,read_only,status_before_retry,before_commit,True,0,0,0,0,0,True,True,0,1,2,3
255,2704092307918063857,read_only,idempotency_key_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
256,2704092307918063857,idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
257,2704092307918063857,idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
258,2704092307918063857,idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
259,2704092307918063857,idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
